Candidate,County Name,Mode,Office,Party,State,State Po,Version,Year,Candidatevotes,County Fips,Totalvotes
RALPH NADER,PIKE,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,498,42103,17364
OTHER,PIKE,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,197,42103,17364
AL GORE,POTTER,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,2037,42105,7090
GEORGE W. BUSH,POTTER,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,4858,42105,7090
RALPH NADER,POTTER,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,146,42105,7090
OTHER,POTTER,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,49,42105,7090
AL GORE,SCHUYLKILL,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,26215,42107,58300
GEORGE W. BUSH,SCHUYLKILL,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,29841,42107,58300
RALPH NADER,SCHUYLKILL,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,1713,42107,58300
OTHER,SCHUYLKILL,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,531,42107,58300
AL GORE,SNYDER,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,3536,42109,12841
GEORGE W. BUSH,SNYDER,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,8963,42109,12841
RALPH NADER,SNYDER,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,271,42109,12841
OTHER,SNYDER,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,71,42109,12841
AL GORE,SOMERSET,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,12028,42111,32985
GEORGE W. BUSH,SOMERSET,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,20218,42111,32985
RALPH NADER,SOMERSET,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,487,42111,32985
OTHER,SOMERSET,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,252,42111,32985
AL GORE,SULLIVAN,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,1066,42113,3105
GEORGE W. BUSH,SULLIVAN,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,1928,42113,3105
RALPH NADER,SULLIVAN,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,91,42113,3105
OTHER,SULLIVAN,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,20,42113,3105
AL GORE,SUSQUEHANNA,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,6481,42115,17271
GEORGE W. BUSH,SUSQUEHANNA,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,10226,42115,17271
RALPH NADER,SUSQUEHANNA,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,459,42115,17271
OTHER,SUSQUEHANNA,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,105,42115,17271
AL GORE,TIOGA,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,4617,42117,14772
GEORGE W. BUSH,TIOGA,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,9635,42117,14772
RALPH NADER,TIOGA,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,404,42117,14772
OTHER,TIOGA,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,116,42117,14772
AL GORE,UNION,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,4209,42119,13175
GEORGE W. BUSH,UNION,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,8523,42119,13175
RALPH NADER,UNION,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,373,42119,13175
OTHER,UNION,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,70,42119,13175
AL GORE,VENANGO,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,8196,42121,20523
GEORGE W. BUSH,VENANGO,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,11642,42121,20523
RALPH NADER,VENANGO,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,467,42121,20523
OTHER,VENANGO,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,218,42121,20523
AL GORE,WARREN,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,7537,42123,17541
GEORGE W. BUSH,WARREN,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,9290,42123,17541
RALPH NADER,WARREN,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,466,42123,17541
OTHER,WARREN,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,248,42123,17541
AL GORE,WASHINGTON,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,44961,42125,84441
GEORGE W. BUSH,WASHINGTON,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,37339,42125,84441
RALPH NADER,WASHINGTON,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,1442,42125,84441
OTHER,WASHINGTON,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,699,42125,84441
AL GORE,WAYNE,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,6904,42127,18914
GEORGE W. BUSH,WAYNE,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,11201,42127,18914
RALPH NADER,WAYNE,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,625,42127,18914
OTHER,WAYNE,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,184,42127,18914
AL GORE,WESTMORELAND,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,71792,42129,156709
GEORGE W. BUSH,WESTMORELAND,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,80858,42129,156709
RALPH NADER,WESTMORELAND,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,2601,42129,156709
OTHER,WESTMORELAND,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,1458,42129,156709
AL GORE,WYOMING,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,4363,42131,11693
GEORGE W. BUSH,WYOMING,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,6922,42131,11693
RALPH NADER,WYOMING,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,344,42131,11693
OTHER,WYOMING,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,64,42131,11693
AL GORE,YORK,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,51958,42133,144244
GEORGE W. BUSH,YORK,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,87652,42133,144244
RALPH NADER,YORK,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,3305,42133,144244
OTHER,YORK,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,1329,42133,144244
JOHN KERRY,ADAMS,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,13764,42001,42228
GEORGE W. BUSH,ADAMS,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,28247,42001,42228
OTHER,ADAMS,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,217,42001,42228
JOHN KERRY,ALLEGHENY,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,368912,42003,645469
GEORGE W. BUSH,ALLEGHENY,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,271925,42003,645469
OTHER,ALLEGHENY,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,4632,42003,645469
JOHN KERRY,ARMSTRONG,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,12025,42005,31097
GEORGE W. BUSH,ARMSTRONG,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,18925,42005,31097
OTHER,ARMSTRONG,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,147,42005,31097
JOHN KERRY,BEAVER,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,42146,42007,82543
GEORGE W. BUSH,BEAVER,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,39916,42007,82543
OTHER,BEAVER,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,481,42007,82543
JOHN KERRY,BEDFORD,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,6016,42009,22679
GEORGE W. BUSH,BEDFORD,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,16606,42009,22679
OTHER,BEDFORD,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,57,42009,22679
JOHN KERRY,BERKS,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,76309,42011,164487
GEORGE W. BUSH,BERKS,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,87122,42011,164487
OTHER,BERKS,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,1056,42011,164487
JOHN KERRY,BLAIR,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,18105,42013,54178
GEORGE W. BUSH,BLAIR,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,35751,42013,54178
OTHER,BLAIR,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,322,42013,54178
JOHN KERRY,BRADFORD,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,8590,42015,25652
GEORGE W. BUSH,BRADFORD,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,16942,42015,25652
OTHER,BRADFORD,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,120,42015,25652
JOHN KERRY,BUCKS,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,163438,42017,319816
GEORGE W. BUSH,BUCKS,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,154469,42017,319816
OTHER,BUCKS,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,1909,42017,319816
JOHN KERRY,BUTLER,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,30090,42019,85425
GEORGE W. BUSH,BUTLER,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,54959,42019,85425
OTHER,BUTLER,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,376,42019,85425
JOHN KERRY,CAMBRIA,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,32591,42021,66983
GEORGE W. BUSH,CAMBRIA,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,34048,42021,66983
OTHER,CAMBRIA,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,344,42021,66983
JOHN KERRY,CAMERON,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,794,42023,2406
GEORGE W. BUSH,CAMERON,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,1599,42023,2406
OTHER,CAMERON,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,13,42023,2406
JOHN KERRY,CARBON,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,12223,42025,25043
GEORGE W. BUSH,CARBON,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,12519,42025,25043
OTHER,CARBON,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,301,42025,25043
JOHN KERRY,CENTRE,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,30733,42027,64253
GEORGE W. BUSH,CENTRE,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,33133,42027,64253
OTHER,CENTRE,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,387,42027,64253
JOHN KERRY,CHESTER,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,109708,42029,230823
GEORGE W. BUSH,CHESTER,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,120036,42029,230823
OTHER,CHESTER,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,1079,42029,230823
JOHN KERRY,CLARION,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,6049,42031,17184
GEORGE W. BUSH,CLARION,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,11063,42031,17184
OTHER,CLARION,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,72,42031,17184
JOHN KERRY,CLEARFIELD,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,13518,42033,34233
GEORGE W. BUSH,CLEARFIELD,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,20533,42033,34233
OTHER,CLEARFIELD,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,182,42033,34233
JOHN KERRY,CLINTON,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,5823,42035,13967
GEORGE W. BUSH,CLINTON,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,8035,42035,13967
OTHER,CLINTON,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,109,42035,13967
JOHN KERRY,COLUMBIA,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,10679,42037,26869
GEORGE W. BUSH,COLUMBIA,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,16052,42037,26869
OTHER,COLUMBIA,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,138,42037,26869
JOHN KERRY,CRAWFORD,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,16013,42039,38322
GEORGE W. BUSH,CRAWFORD,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,21965,42039,38322
OTHER,CRAWFORD,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,344,42039,38322
JOHN KERRY,CUMBERLAND,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,37928,42041,106082
GEORGE W. BUSH,CUMBERLAND,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,67648,42041,106082
OTHER,CUMBERLAND,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,506,42041,106082
JOHN KERRY,DAUPHIN,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,55299,42043,121208
GEORGE W. BUSH,DAUPHIN,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,65296,42043,121208
OTHER,DAUPHIN,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,613,42043,121208
JOHN KERRY,DELAWARE,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,162601,42045,284538
GEORGE W. BUSH,DELAWARE,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,120425,42045,284538
OTHER,DELAWARE,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,1512,42045,284538
JOHN KERRY,ELK,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,6602,42047,14550
GEORGE W. BUSH,ELK,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,7872,42047,14550
OTHER,ELK,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,76,42047,14550
JOHN KERRY,ERIE,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,67921,42049,125898
GEORGE W. BUSH,ERIE,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,57372,42049,125898
OTHER,ERIE,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,605,42049,125898
JOHN KERRY,FAYETTE,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,29120,42051,54707
GEORGE W. BUSH,FAYETTE,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,25045,42051,54707
OTHER,FAYETTE,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,542,42051,54707
JOHN KERRY,FOREST,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,989,42053,2573
GEORGE W. BUSH,FOREST,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,1571,42053,2573
OTHER,FOREST,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,13,42053,2573
JOHN KERRY,FRANKLIN,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,16562,42055,58569
GEORGE W. BUSH,FRANKLIN,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,41817,42055,58569
OTHER,FRANKLIN,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,190,42055,58569
JOHN KERRY,FULTON,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,1475,42057,6271
GEORGE W. BUSH,FULTON,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,4772,42057,6271
OTHER,FULTON,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,24,42057,6271
JOHN KERRY,GREENE,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,7674,42059,15565
GEORGE W. BUSH,GREENE,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,7786,42059,15565
OTHER,GREENE,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,105,42059,15565
JOHN KERRY,HUNTINGDON,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,5879,42061,18058
GEORGE W. BUSH,HUNTINGDON,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,12126,42061,18058
OTHER,HUNTINGDON,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,53,42061,18058
JOHN KERRY,INDIANA,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,15831,42063,36248
GEORGE W. BUSH,INDIANA,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,20254,42063,36248
OTHER,INDIANA,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,163,42063,36248
JOHN KERRY,JEFFERSON,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,6073,42065,19560
GEORGE W. BUSH,JEFFERSON,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,13371,42065,19560
OTHER,JEFFERSON,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,116,42065,19560
JOHN KERRY,JUNIATA,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,2797,42067,10006
GEORGE W. BUSH,JUNIATA,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,7144,42067,10006
OTHER,JUNIATA,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,65,42067,10006
JOHN KERRY,LACKAWANNA,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,59573,42069,105819
GEORGE W. BUSH,LACKAWANNA,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,44766,42069,105819
OTHER,LACKAWANNA,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,1480,42069,105819
JOHN KERRY,LANCASTER,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,74328,42071,221278
GEORGE W. BUSH,LANCASTER,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,145591,42071,221278
OTHER,LANCASTER,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,1359,42071,221278
JOHN KERRY,LAWRENCE,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,21387,42073,43442
GEORGE W. BUSH,LAWRENCE,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,21938,42073,43442
OTHER,LAWRENCE,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,117,42073,43442
JOHN KERRY,LEBANON,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,18109,42075,55665
GEORGE W. BUSH,LEBANON,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,37089,42075,55665
OTHER,LEBANON,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,467,42075,55665
JOHN KERRY,LEHIGH,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,73940,42077,145091
GEORGE W. BUSH,LEHIGH,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,70160,42077,145091
OTHER,LEHIGH,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,991,42077,145091
JOHN KERRY,LUZERNE,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,69573,42079,136028
GEORGE W. BUSH,LUZERNE,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,64953,42079,136028
OTHER,LUZERNE,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,1502,42079,136028
JOHN KERRY,LYCOMING,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,15681,42081,50049
GEORGE W. BUSH,LYCOMING,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,33961,42081,50049
OTHER,LYCOMING,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,407,42081,50049
JOHN KERRY,MCKEAN,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,6294,42083,17426
GEORGE W. BUSH,MCKEAN,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,10941,42083,17426
OTHER,MCKEAN,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,191,42083,17426
JOHN KERRY,MERCER,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,24831,42085,51564
GEORGE W. BUSH,MERCER,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,26311,42085,51564
OTHER,MERCER,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,422,42085,51564
JOHN KERRY,MIFFLIN,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,4889,42087,16802
GEORGE W. BUSH,MIFFLIN,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,11726,42087,16802
OTHER,MIFFLIN,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,187,42087,16802
JOHN KERRY,MONROE,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,27967,42089,56342
GEORGE W. BUSH,MONROE,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,27971,42089,56342
OTHER,MONROE,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,404,42089,56342
JOHN KERRY,MONTGOMERY,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,222048,42091,399591
GEORGE W. BUSH,MONTGOMERY,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,175741,42091,399591
OTHER,MONTGOMERY,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,1802,42091,399591
JOHN KERRY,MONTOUR,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,2666,42093,7624
GEORGE W. BUSH,MONTOUR,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,4903,42093,7624
OTHER,MONTOUR,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,55,42093,7624
JOHN KERRY,NORTHAMPTON,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,63446,42095,126740
